title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,affiliations,candidate_id,scored_at,is_preprint,venue_score,citation_score,institution_score,institution_bonus,relevance_score,total_quality_score,review_reason,recommended_action
Intelligence in the internet age: The emergence and evolution of Open Source Intelligence (OSINT),Michael Glassman; Min Kang,2011.0,Computers in Human Behavior,10.1016/j.chb.2011.11.014,,https://doi.org/10.1016/j.chb.2011.11.014,OpenAlex,open source intelligence,discovery,144.0,46.0,,2,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,62.5,69.62,,auto-include
Defining Second Generation Open Source Intelligence (OSINT) for the Defense Enterprise,Heather Williams; Ilana Blum,2018.0,RAND Corporation eBooks,10.7249/rr1964,,https://doi.org/10.7249/rr1964,OpenAlex,open source intelligence,discovery,90.0,28.0,,3,2026-04-28T15:13:06.340854+00:00,False,40.0,97.74,20.0,0.0,50.0,65.6,,auto-include
Systematic Literature Review to Investigate the Application of Open Source Intelligence (OSINT) with Artificial Intelligence,João Rafael Gonçalves Evangelista; Renato José Sassi; Márcio Romero; Domingos Márcio Rodrigues Napolitano,2020.0,Journal of Applied Security Research,10.1080/19361610.2020.1761737,,https://doi.org/10.1080/19361610.2020.1761737,OpenAlex,open source intelligence,discovery,66.0,32.0,,8,2026-04-28T15:13:06.340854+00:00,False,40.0,91.11,20.0,0.0,50.0,62.94,,auto-include
Open Source Intelligence for Malicious Behavior Discovery and Interpretation,Yi-Ting Huang; Chi Lin; Ying-Ren Guo; Kai-Chieh Lo; Yeali S. Sun; Meng Chang Chen,2021.0,IEEE Transactions on Dependable and Secure Computing,10.1109/tdsc.2021.3119008,,https://doi.org/10.1109/tdsc.2021.3119008,OpenAlex,open source intelligence,discovery,36.0,54.0,,14,2026-04-28T15:13:06.340854+00:00,False,100.0,78.24,20.0,0.0,37.5,75.67,,auto-include
Common vulnerability scoring system prediction based on open source intelligence information sources,Philipp Kühn; David N. Relke; Christian Reuter,2023.0,Computers & Security,10.1016/j.cose.2023.103286,,https://doi.org/10.1016/j.cose.2023.103286,OpenAlex,open source intelligence,discovery,49.0,46.0,,23,2026-04-28T15:13:06.340854+00:00,False,100.0,84.77,20.0,0.0,37.5,78.28,,auto-include
"The Not Yet Exploited Goldmine of OSINT: Opportunities, Open Challenges and Future Trends",Javier Pastor-Galindo; Pantaleone Nespoli; Félix Gómez Mármol; Gregorio Martínez Pérez,2020.0,IEEE Access,10.1109/access.2020.2965257,,https://doi.org/10.1109/access.2020.2965257,OpenAlex,OSINT methodology,discovery,151.0,97.0,,52,2026-04-28T15:13:06.340854+00:00,False,100.0,100.0,20.0,0.0,25.0,81.25,,auto-include
Cyber Intelligence and OSINT: Developing Mitigation Techniques Against Cybercrime Threats on Social Media,Abel Yeboah-Ofori; The Society of Digital Information and Wireless Communication,2018.0,International Journal of Cyber-Security and Digital Forensics,10.17781/p002378,,https://doi.org/10.17781/p002378,OpenAlex,OSINT methodology,discovery,26.0,9.0,,69,2026-04-28T15:13:06.340854+00:00,False,40.0,71.41,20.0,0.0,100.0,67.57,,auto-include
OSINT Research Studios: A Flexible Crowdsourcing Framework to Scale Up Open Source Intelligence Investigations,Anirban Mukhopadhyay; Sukrit Venkatagiri; Kurt Luther,2024.0,Proceedings of the ACM on Human-Computer Interaction,10.1145/3637382,,https://doi.org/10.1145/3637382,OpenAlex,OSINT investigation,discovery,3.0,75.0,,126,2026-04-28T15:13:06.340854+00:00,False,100.0,30.04,20.0,0.0,75.0,65.77,,auto-include
Robust Botnet DGA Detection: Blending XAI and OSINT for Cyber Threat Intelligence Sharing,Hatma Suryotrisongko; Yasuo Musashi; Akio Tsuneda; Kenichi Sugitani,2022.0,IEEE Access,10.1109/access.2022.3162588,,https://doi.org/10.1109/access.2022.3162588,OpenAlex,OSINT investigation,discovery,79.0,59.0,,133,2026-04-28T15:13:06.340854+00:00,False,100.0,94.95,20.0,0.0,37.5,82.35,,auto-include
Fake news detection within online social media using supervised artificial intelligence algorithms,Feyza Altunbey Özbay; Bilal Alataş,2019.0,Physica A Statistical Mechanics and its Applications,10.1016/j.physa.2019.123174,,https://doi.org/10.1016/j.physa.2019.123174,OpenAlex,social media intelligence,discovery,390.0,75.0,,155,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,50.0,66.5,,auto-include
Social Bots and the Spread of Disinformation in Social Media: The Challenges of Artificial Intelligence,Nick Hajli; Usman Saeed; Mina Tajvidi; Farid Shirazi,2021.0,British Journal of Management,10.1111/1467-8551.12554,,https://doi.org/10.1111/1467-8551.12554,OpenAlex,social media intelligence,discovery,118.0,96.0,,167,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,37.5,63.38,,auto-include
The Significance of Machine Learning and Deep Learning Techniques in Cybersecurity: A Comprehensive Review,Maad Mijwil; Israa Ezzat Salem; Marwa M. Ismaeel,2023.0,Iraqi Journal for Computer Science and Mathematics,10.52866/ijcsm.2023.01.01.008,,https://doi.org/10.52866/ijcsm.2023.01.01.008,OpenAlex,threat intelligence collection,discovery,100.0,82.0,,290,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,25.0,60.25,,auto-include
Detecting Cybersecurity Attacks in Internet of Things Using Artificial Intelligence Methods: A Systematic Literature Review,Mujaheed Abdullahi; Yahia Baashar; Hitham Alhussian; A. Alwadain; Norshakirah Aziz; Luiz Fernando Capretz; S. Abdulkadir,2022.0,Electronics,10.3390/electronics11020198,"In recent years, technology has advanced to the fourth industrial revolution (Industry 4.0), where the Internet of things (IoTs), fog computing, computer security, and cyberattacks have evolved exponentially on a large scale. The rapid development of IoT devices and networks in various forms generate enormous amounts of data which in turn demand careful authentication and security. Artificial intelligence (AI) is considered one of the most promising methods for addressing cybersecurity threats and providing security. In this study, we present a systematic literature review (SLR) that categorize, map and survey the existing literature on AI methods used to detect cybersecurity attacks in the IoT environment. The scope of this SLR includes an in-depth investigation on most AI trending techniques in cybersecurity and state-of-art solutions. A systematic search was performed on various electronic databases (SCOPUS, Science Direct, IEEE Xplore, Web of Science, ACM, and MDPI). Out of the identified records, 80 studies published between 2016 and 2021 were selected, surveyed and carefully assessed. This review has explored deep learning (DL) and machine learning (ML) techniques used in IoT security, and their effectiveness in detecting attacks. However, several studies have proposed smart intrusion detection systems (IDS) with intelligent architectural frameworks using AI to overcome the existing security and privacy challenges. It is found that support vector machines (SVM) and random forest (RF) are among the most used methods, due to high accuracy detection another reason may be efficient memory. In addition, other methods also provide better performance such as extreme gradient boosting (XGBoost), neural networks (NN) and recurrent neural networks (RNN). This analysis also provides an insight into the AI roadmap to detect threats based on attack categories. Finally, we present recommendations for potential future investigations.",https://www.semanticscholar.org/paper/6f5b87e38cfb4a47e3ac7988cca5612ccf0a2946,Semantic Scholar,internet investigation methods,discovery,272.0,,,360,2026-04-28T15:13:06.340854+00:00,False,40.0,100.0,20.0,0.0,100.0,79.0,,auto-include
