title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,candidate_id,scored_at,venue_score,citation_score,institution_score,usage_score,relevance_score,total_quality_score,review_reason,recommended_action
Open Source Intelligence,Felix Stalder; Jesse Hirsh,2002,First Monday,10.5210/fm.v7i6.961,,https://doi.org/10.5210/fm.v7i6.961,OpenAlex,open source intelligence,discovery,86.0,4.0,1,2026-04-23T15:04:15.521928+00:00,40.0,32.3,40.0,0.0,25.0,30.69,Below quality threshold,reject
Intelligence in the internet age: The emergence and evolution of Open Source Intelligence (OSINT),Michael Glassman; Min Kang,2011,Computers in Human Behavior,10.1016/j.chb.2011.11.014,,https://doi.org/10.1016/j.chb.2011.11.014,OpenAlex,open source intelligence,discovery,144.0,46.0,2,2026-04-23T15:04:15.521928+00:00,40.0,49.89,40.0,0.0,25.0,35.97,Below quality threshold,reject
Defining Second Generation Open Source Intelligence (OSINT) for the Defense Enterprise,Heather Williams; Ilana Blum,2018,RAND Corporation eBooks,10.7249/rr1964,,https://doi.org/10.7249/rr1964,OpenAlex,open source intelligence,discovery,90.0,28.0,3,2026-04-23T15:04:15.521928+00:00,40.0,51.96,40.0,0.0,25.0,36.59,Below quality threshold,reject
Open-source intelligence for risk assessment,Darren Hayes; Francesco Cappa,2018,Business Horizons,10.1016/j.bushor.2018.02.001,,https://doi.org/10.1016/j.bushor.2018.02.001,OpenAlex,open source intelligence,discovery,46.0,42.0,4,2026-04-23T15:04:15.521928+00:00,40.0,39.22,40.0,0.0,0.0,27.77,Below quality threshold,reject
Open-source intelligence and privacy by design,Bert‐Jaap Koops; Jaap-Henk Hoepman; Ronald Leenes,2013,Computer law & security review,10.1016/j.clsr.2013.09.005,,https://doi.org/10.1016/j.clsr.2013.09.005,OpenAlex,open source intelligence,discovery,47.0,31.0,5,2026-04-23T15:04:15.521928+00:00,40.0,31.89,40.0,0.0,0.0,25.57,Below quality threshold,reject
The Downside of Open Source Intelligence,Arthur S. Hulnick,2002,International Journal of Intelligence and CounterIntelligence,10.1080/08850600290101767,,https://doi.org/10.1080/08850600290101767,OpenAlex,open source intelligence,discovery,35.0,9.0,6,2026-04-23T15:04:15.521928+00:00,40.0,18.97,40.0,0.0,25.0,26.69,Below quality threshold,reject
"Open source intelligence, social media and law enforcement: Visions, constraints and critiques",Daniel Trottier,2015,European Journal of Cultural Studies,10.1177/1367549415577396,,https://doi.org/10.1177/1367549415577396,OpenAlex,open source intelligence,discovery,55.0,41.0,7,2026-04-23T15:04:15.521928+00:00,40.0,37.26,40.0,0.0,25.0,32.18,Below quality threshold,reject
Systematic Literature Review to Investigate the Application of Open Source Intelligence (OSINT) with Artificial Intelligence,João Rafael Gonçalves Evangelista; Renato José Sassi; Márcio Romero; Domingos Márcio Rodrigues Napolitano,2020,Journal of Applied Security Research,10.1080/19361610.2020.1761737,,https://doi.org/10.1080/19361610.2020.1761737,OpenAlex,open source intelligence,discovery,66.0,32.0,8,2026-04-23T15:04:15.521928+00:00,40.0,50.8,80.0,0.0,25.0,42.24,Below quality threshold,reject
Open Source Intelligence Methods and Tools,Nihad A. Hassan; Rami Hijazi,2018,Apress eBooks,10.1007/978-1-4842-3213-2,,https://doi.org/10.1007/978-1-4842-3213-2,OpenAlex,open source intelligence,discovery,34.0,0.0,9,2026-04-23T15:04:15.521928+00:00,40.0,33.89,40.0,0.0,25.0,31.17,Below quality threshold,reject
Open Source Intelligence Investigation,Fraser Sampson; Petra Saskia Bayerl; Babak Akhgar,2016,Advanced sciences and technologies for security applications,10.1007/978-3-319-47671-1,,https://doi.org/10.1007/978-3-319-47671-1,OpenAlex,open source intelligence,discovery,27.0,0.0,10,2026-04-23T15:04:15.521928+00:00,40.0,26.86,40.0,0.0,25.0,29.06,Below quality threshold,reject
Who’s that lady? — Applying open source intelligence in a history context,Jacques Dane; C. Verhoef,2024,Endeavour,10.1016/j.endeavour.2024.100967,,https://doi.org/10.1016/j.endeavour.2024.100967,OpenAlex,open source intelligence,discovery,41.0,90.0,11,2026-04-23T15:04:15.521928+00:00,40.0,58.19,40.0,0.0,25.0,38.46,Below quality threshold,reject
Is open source intelligence an ethical issue?,Hamilton Bean,2011,Research in social problems and public policy,10.1108/s0196-1152(2011)0000019024,,https://doi.org/10.1108/s0196-1152(2011)0000019024,OpenAlex,open source intelligence,discovery,26.0,20.0,12,2026-04-23T15:04:15.521928+00:00,40.0,20.91,40.0,0.0,25.0,27.27,Below quality threshold,reject
Open Source Intelligence Techniques: Resources for Searching and Analyzing Online Information,Michael Bazzell,2012,,,,,OpenAlex,open source intelligence,discovery,42.0,0.0,13,2026-04-23T15:04:15.521928+00:00,40.0,28.93,40.0,0.0,25.0,29.68,Below quality threshold,reject
"Open-source intelligence: a comprehensive review of the current state, applications and future perspectives in cyber security",Ashok Yadav; Atul Kumar; Vrijendra Singh,2023,Artificial Intelligence Review,10.1007/s10462-023-10454-y,,https://doi.org/10.1007/s10462-023-10454-y,OpenAlex,open source intelligence,discovery,50.0,75.0,15,2026-04-23T15:04:15.521928+00:00,40.0,56.39,40.0,0.0,0.0,32.92,Below quality threshold,reject
Open Source Intelligence in Disaster Management,Gerhard Backfried; Christian Schmidt; Mark G. Pfeiffer; Gerald Quirchmayr; Markus Glanzer; Karin Rainer,2012,,10.1109/eisic.2012.42,,https://doi.org/10.1109/eisic.2012.42,OpenAlex,open source intelligence,discovery,24.0,12.0,16,2026-04-23T15:04:15.521928+00:00,40.0,20.7,40.0,0.0,25.0,27.21,Below quality threshold,reject
Open Source Intelligence OSINT: Issues for Congress,Richard A. Best; Alfred Cumming,2008,,,,https://apps.dtic.mil/dtic/tr/fulltext/u2/a475067.pdf,OpenAlex,open source intelligence,discovery,31.0,1.0,17,2026-04-23T15:04:15.521928+00:00,40.0,20.97,40.0,0.0,25.0,27.29,Below quality threshold,reject
Automating Open Source Intelligence,,2016,Elsevier eBooks,10.1016/c2014-0-02170-3,,https://doi.org/10.1016/c2014-0-02170-3,OpenAlex,open source intelligence,discovery,27.0,0.0,18,2026-04-23T15:04:15.521928+00:00,100.0,26.86,40.0,0.0,25.0,44.06,Below quality threshold,reject
Counterterrorism and Open Source Intelligence,"Wiil, Uffe Kock",2011,Lecture notes in social networks,10.1007/978-3-7091-0388-3,,http://doi.org/10.1007/978-3-7091-0388-3,OpenAlex,open source intelligence,discovery,27.0,35.0,19,2026-04-23T15:04:15.521928+00:00,40.0,21.42,40.0,0.0,25.0,27.43,Below quality threshold,reject
Open Source Intelligence in the Twenty-First Century,Chris Hobbs; Matthew Moran; Daniel Salisbury,2014,Palgrave Macmillan UK eBooks,10.1057/9781137353320,,https://doi.org/10.1057/9781137353320,OpenAlex,open source intelligence,discovery,23.0,0.0,20,2026-04-23T15:04:15.521928+00:00,100.0,22.07,40.0,0.0,25.0,42.62,Below quality threshold,reject
Open source intelligence: An intelligence lifeline,Stevyn D. Gibson,2004,Virtual Defense Library (Ministerio de Defensa),,,https://bibliotecavirtual.defensa.gob.es/BVMDefensa/es/consulta/registro.do?id=320682,OpenAlex,open source intelligence,discovery,26.0,15.0,22,2026-04-23T15:04:15.521928+00:00,40.0,16.39,40.0,0.0,25.0,25.92,Below quality threshold,reject
Methodologies for Retrieving and Processing Information from Open Sources (OSINT),Călin Ioan Julan; Mihai Togan,2023,Journal of Military Technology,10.32754/jmt.2023.1.05,,https://doi.org/10.32754/jmt.2023.1.05,OpenAlex,OSINT methodology,discovery,3.0,5.0,53,2026-04-23T15:04:15.521928+00:00,40.0,12.13,40.0,0.0,0.0,19.64,Below quality threshold,reject
A Proposed High-Level Methodology on How OSINT is applied in Blockchain Investigations,Wian Gertenbach; Johnny Botha; Louise Leenen,2024,International Conference on Cyber Warfare and Security,10.34190/iccws.19.1.2172,,https://doi.org/10.34190/iccws.19.1.2172,OpenAlex,OSINT methodology,discovery,1.0,9.0,54,2026-04-23T15:04:15.521928+00:00,40.0,6.23,40.0,0.0,0.0,17.87,Below quality threshold,reject
