title,authors,year,venue,doi,abstract,source_url,discovery_source,discovery_query,inclusion_path,citation_count,reference_count,affiliations,candidate_id,scored_at,venue_score,citation_score,institution_score,institution_bonus,relevance_score,total_quality_score,review_reason,recommended_action
Intelligence in the internet age: The emergence and evolution of Open Source Intelligence (OSINT),Michael Glassman; Min Kang,2011,Computers in Human Behavior,10.1016/j.chb.2011.11.014,,https://doi.org/10.1016/j.chb.2011.11.014,OpenAlex,open source intelligence,discovery,144.0,46.0,,2,2026-04-23T18:42:09.137513+00:00,40.0,49.89,40.0,0.0,62.5,49.58,Quality uncertain or moderate,human review
Defining Second Generation Open Source Intelligence (OSINT) for the Defense Enterprise,Heather Williams; Ilana Blum,2018,RAND Corporation eBooks,10.7249/rr1964,,https://doi.org/10.7249/rr1964,OpenAlex,open source intelligence,discovery,90.0,28.0,,3,2026-04-23T18:42:09.137513+00:00,40.0,51.96,40.0,0.0,50.0,47.28,Quality uncertain or moderate,human review
Systematic Literature Review to Investigate the Application of Open Source Intelligence (OSINT) with Artificial Intelligence,João Rafael Gonçalves Evangelista; Renato José Sassi; Márcio Romero; Domingos Márcio Rodrigues Napolitano,2020,Journal of Applied Security Research,10.1080/19361610.2020.1761737,,https://doi.org/10.1080/19361610.2020.1761737,OpenAlex,open source intelligence,discovery,66.0,32.0,,8,2026-04-23T18:42:09.137513+00:00,40.0,50.8,40.0,0.0,50.0,46.82,Quality uncertain or moderate,human review
Who’s that lady? — Applying open source intelligence in a history context,Jacques Dane; C. Verhoef,2024,Endeavour,10.1016/j.endeavour.2024.100967,,https://doi.org/10.1016/j.endeavour.2024.100967,OpenAlex,open source intelligence,discovery,41.0,90.0,,11,2026-04-23T18:42:09.137513+00:00,40.0,58.19,40.0,0.0,37.5,46.65,Quality uncertain or moderate,human review
Open Source Intelligence for Malicious Behavior Discovery and Interpretation,Yi-Ting Huang; Chi Lin; Ying-Ren Guo; Kai-Chieh Lo; Yeali S. Sun; Meng Chang Chen,2021,IEEE Transactions on Dependable and Secure Computing,10.1109/tdsc.2021.3119008,,https://doi.org/10.1109/tdsc.2021.3119008,OpenAlex,open source intelligence,discovery,36.0,54.0,,14,2026-04-23T18:42:09.137513+00:00,100.0,42.16,40.0,0.0,37.5,61.24,Quality uncertain or moderate,human review
"Open-source intelligence: a comprehensive review of the current state, applications and future perspectives in cyber security",Ashok Yadav; Atul Kumar; Vrijendra Singh,2023,Artificial Intelligence Review,10.1007/s10462-023-10454-y,,https://doi.org/10.1007/s10462-023-10454-y,OpenAlex,open source intelligence,discovery,50.0,75.0,,15,2026-04-23T18:42:09.137513+00:00,40.0,56.39,40.0,0.0,37.5,45.93,Quality uncertain or moderate,human review
Automating Open Source Intelligence,,2016,Elsevier eBooks,10.1016/c2014-0-02170-3,,https://doi.org/10.1016/c2014-0-02170-3,OpenAlex,open source intelligence,discovery,27.0,0.0,,18,2026-04-23T18:42:09.137513+00:00,100.0,26.86,40.0,0.0,37.5,55.12,Quality uncertain or moderate,human review
Open Source Intelligence in the Twenty-First Century,Chris Hobbs; Matthew Moran; Daniel Salisbury,2014,Palgrave Macmillan UK eBooks,10.1057/9781137353320,,https://doi.org/10.1057/9781137353320,OpenAlex,open source intelligence,discovery,23.0,0.0,,20,2026-04-23T18:42:09.137513+00:00,100.0,22.07,40.0,0.0,37.5,53.2,Quality uncertain or moderate,human review
A survey exploring open source Intelligence for smarter password cracking,Aikaterini Kanta; Iwen Coisel; Mark Scanlon,2020,Forensic Science International Digital Investigation,10.1016/j.fsidi.2020.301075,,https://doi.org/10.1016/j.fsidi.2020.301075,OpenAlex,open source intelligence,discovery,32.0,182.0,,21,2026-04-23T18:42:09.137513+00:00,100.0,37.22,40.0,0.0,37.5,59.26,Quality uncertain or moderate,human review
Common vulnerability scoring system prediction based on open source intelligence information sources,Philipp Kühn; David N. Relke; Christian Reuter,2023,Computers & Security,10.1016/j.cose.2023.103286,,https://doi.org/10.1016/j.cose.2023.103286,OpenAlex,open source intelligence,discovery,49.0,46.0,,23,2026-04-23T18:42:09.137513+00:00,100.0,55.99,40.0,0.0,37.5,66.77,Quality uncertain or moderate,human review
